K,mid,iv_mid
200,5292.700195,0
400,5094.050049,0
600,4894.399902,0
800,4696.600098,0
1000,4496.850098,0
1200,4299.550049,0
1400,4099.649902,0
1600,3902.349976,0
1800,3703.699951,0
1900,3604.449951,0.83314384
2000,3505,0
2100,3405.099976,0
2200,3305.450073,0
2300,3207.449951,0
2400,3107.149902,0
2500,3009.150024,0
2600,2909.550049,0.700777669
2700,2809.549927,0
2800,2710.349976,0
2900,2611.25,0
3000,2512.25,0
3100,2414.150024,0.464061279
3150,2364.650024,0.489289093
3200,2315.300049,0.510628433
3250,2264.900024,0
3300,2216.75,0.52744957
3350,2166.900024,0.506522713
3400,2118.549927,0.535345497
3450,2069.099976,0.526433716
3500,2019.149963,0.505640907
3550,1969.950012,0.502319489
3600,1920.649963,0.495572548
3650,1870.899963,0.480098686
3700,1821.950012,0.478615799
3725,1797.099976,0.471354332
3750,1772.299988,0.46492794
3775,1748,0.465891533
3800,1723.199951,0.45936882
3825,1698.350037,0.452058907
3850,1674,0.451533089
3875,1649.150024,0.444326935
3900,1624.599976,0.440907593
3925,1600.100037,0.437754059
3950,1575.5,0.433338242
3975,1550.650024,0.426194115
4000,1526.299988,0.424265976
4025,1501.75,0.420115204
4050,1477.099976,0.414814606
4075,1452.349976,0.408600044
4100,1427.549988,0.401905937
4125,1403.449951,0.401327782
4150,1378.450012,0.392920952
4175,1354.5,0.393087311
4200,1329.75,0.386664963
4225,1305.200012,0.381703415
4250,1280.950012,0.378877258
4275,1256.599976,0.375134583
4290,1241.899963,0.372125092
4300,1232.100037,0.370201263
4310,1222.349976,0.368528023
4320,1212.700012,0.367464981
4325,1207.550049,0.364882126
4330,1202.75,0.364500122
4340,1195.149963,0.375334244
4350,1185.850037,0.375856667
4360,1173.549988,0.359580536
4370,1164.049988,0.359286575
4375,1159.5,0.360241051
4380,1154.049988,0.355924988
4390,1146.700012,0.367069817
4400,1134.949951,0.354505005
4410,1127.649963,0.365274468
4420,1115.75,0.352309189
4425,1110.700012,0.350417175
4430,1108.300049,0.361837654
4440,1096.200012,0.348144112
4450,1086.600037,0.346929627
4460,1077.049988,0.345920868
4470,1067.400024,0.34441185
4475,1062.599976,0.343763962
4480,1057.600037,0.34214901
4490,1050.299988,0.351132736
4500,1038.25,0.338620338
4510,1028.399963,0.336105537
4520,1019.299988,0.336931114
4525,1014.5,0.336186829
4530,1009.700012,0.335434227
4540,999.9500122,0.333257599
4550,990.25,0.331283073
4560,980.5,0.329080658
4570,971.4000244,0.329556122
4575,966.1500244,0.326892128
4580,961.6500244,0.327298393
4590,951.8499756,0.32482914
4600,942.0499878,0.32235424
4610,933.1500244,0.323364716
4620,923.7999878,0.322549744
4625,918.6499939,0.320357513
4630,914.6500244,0.322422295
4640,904.3999939,0.318232174
4650,895.0499878,0.317176304
4660,885.5,0.315486031
4670,876.5499878,0.315839005
4675,871.8500061,0.315207882
4680,867.1499939,0.314565125
4690,857.25,0.311581268
4700,848.2000122,0.311397228
4710,839.25,0.311443405
4720,829.5,0.308884773
4725,824.7999878,0.308150635
4730,820.3500061,0.308181515
4740,810.8000183,0.306196213
4750,801.6499939,0.305387039
4760,792.4499817,0.304369164
4770,783.1999817,0.303153496
4775,778.3999939,0.302026711
4780,774.0500183,0.302172928
4790,764.75,0.300719395
4795,760,0.29971262
4800,755.4499817,0.299248638
4805,751.8000183,0.301190128
4810,746.4499817,0.29854187
4815,741.75,0.297630787
4820,734.8000183,0.290546131
4825,732.75,0.296703682
4830,727.8000183,0.295110779
4835,723.4499817,0.295067177
4840,718.6499939,0.293850155
4845,714.3500061,0.293898697
4850,709.8500061,0.293420029
4855,705.4499817,0.29317503
4860,700.5500183,0.291676083
4865,696,0.291036072
4870,691.5,0.290505333
4875,687,0.289960194
4880,682.6999817,0.289879437
4885,677.9499817,0.288709106
4890,673.5500183,0.288358364
4895,669.25,0.288222923
4900,667.5,0.293876839
4905,660.5500183,0.287659512
4910,656.9499817,0.289041882
4915,652.3000183,0.288028183
4920,646.75,0.285000362
4925,642.7000122,0.285315933
4930,638.25,0.284723148
4935,633.5499268,0.283571587
4940,629.3999939,0.283604641
4945,624.6500244,0.282326946
4950,620.25,0.281790714
4955,616.1500244,0.281872444
4960,611.75,0.281278305
4965,607.1999512,0.280359573
4970,602.7999268,0.279871388
4975,597.9000244,0.278218308
4980,594.2999268,0.279210262
4985,589.6500244,0.278050518
4990,584.9000244,0.276651688
4995,581,0.277004528
5000,576.4998779,0.276116619
5005,572.4000244,0.275999184
5010,568.2999878,0.275859814
5015,564,0.27531702
5020,559.4000244,0.274191361
5025,555.1999512,0.273812981
5030,550.8999023,0.273230648
5035,546.1999512,0.27189167
5040,542.3499756,0.27224432
5045,538.0999756,0.271710796
5050,533.75,0.270980644
5055,529.1999512,0.269877873
5060,525.4499512,0.270198555
5065,521.1499023,0.269515266
5070,517,0.269082909
5075,512.75,0.268458538
5080,508.5999756,0.26799324
5085,504.8499756,0.268285751
5090,500.7000732,0.267525463
5095,496.5,0.26683712
5100,491.8500061,0.265584641
5105,488.2000732,0.26595995
5110,484.0999756,0.26539196
5115,480,0.264890537
5120,475.8498535,0.263304329
5125,471.7000732,0.263510971
5130,467.5999756,0.262312393
5135,463.5499268,0.2626371
5140,459.4000244,0.262052803
5145,455.4000244,0.261532116
5150,451.2999268,0.260836029
5155,447.2999268,0.260439014
5160,443.2000732,0.259710846
5165,439.1500244,0.25920084
5170,435.3000488,0.258750267
5175,431.2000732,0.258280888
5180,427.1998291,0.257641239
5185,423.2000732,0.2570607
5190,419.2999268,0.256538315
5195,415.1998291,0.255923061
5200,411.2999268,0.255365295
5205,407.4000244,0.254790001
5210,403.4500732,0.254049244
5215,399.5499268,0.253733387
5220,395.5999756,0.253177433
5225,391.7000732,0.252603569
5230,387.7999268,0.252011681
5235,383.9500732,0.251330242
5240,380.0499268,0.250774422
5245,376.2000732,0.250257797
5250,372.3499756,0.249547596
5255,368.5499268,0.248936501
5260,364.6499023,0.248448029
5265,360.8499756,0.247731533
5270,357.0499268,0.247275486
5275,353.2498779,0.246662045
5280,349.5,0.245205593
5285,345.75,0.245449047
5290,341.9499512,0.244781113
5295,338.3499756,0.244162884
5300,334.5499268,0.243525887
5305,330.7999268,0.242937756
5310,327.25,0.242464314
5315,323.5499268,0.241970158
5320,319.8500977,0.241257515
5325,316.25,0.24079031
5330,312.5499268,0.240105
5335,308.9500732,0.239335709
5340,305.25,0.238808537
5345,301.6999512,0.23813118
5350,298,0.237434216
5355,294.5499268,0.236846829
5360,290.9499969,0.23630312
5365,287.3499756,0.235610504
5370,283.9000244,0.235025578
5375,280.25,0.234292698
5380,276.75,0.233666744
5385,273.25,0.233020058
5390,269.75,0.232352009
5395,266.3499756,0.231726246
5400,262.4000092,0.230516892
5405,259.3500061,0.23034874
5410,255.9500046,0.229721661
5415,252.5499954,0.2290728
5420,249.2000046,0.228464317
5425,245.9000015,0.227895069
5430,242.5,0.227180786
5435,239.0999985,0.22644495
5440,235.8499985,0.225748081
5445,232.5499954,0.225151253
5450,229.2000046,0.224470806
5455,225.9500046,0.223828545
5460,222.75,0.223163433
5465,219.4499969,0.222475548
5470,216.25,0.221703949
5475,213.0499954,0.221030197
5480,209.7999954,0.220333023
5485,206.5999985,0.219672623
5490,203.5999985,0.219070149
5495,200.4500046,0.218391876
5500,197.1999969,0.217558727
5505,194.1500015,0.216943111
5510,191,0.216179409
5515,187.9499969,0.215506592
5520,184.9499969,0.214864159
5525,182.0500031,0.214252567
5530,179.0500031,0.213611393
5535,176.1500015,0.212941036
5540,173.1500015,0.212241287
5545,170.1000061,0.211392975
5550,167.25,0.210753288
5555,164.3499985,0.210024414
5560,161.5999985,0.20944458
5565,158.7999954,0.208901711
5570,155.8999939,0.208083553
5575,153.25,0.207475796
5580,150.4499969,0.206807652
5585,147.6500015,0.206052246
5590,145,0.205448074
5595,142.1999969,0.204636078
5600,139.5500031,0.203975411
5605,136.9499969,0.203346195
5610,134.3499985,0.202688255
5615,131.8499985,0.201940918
5620,129.0999985,0.201224289
5625,126.6499977,0.200659466
5630,124.1499939,0.20000452
5635,121.5499992,0.199197807
5640,119.1499977,0.198603973
5645,116.75,0.19797987
5650,114.25,0.197202301
5655,111.9499969,0.196639137
5660,109.5500031,0.195921707
5665,107.1499977,0.19517189
5670,104.8000031,0.19445179
5675,102.5499992,0.193824005
5680,100.25,0.193100891
5685,98.04999924,0.192470703
5690,95.79999924,0.191744022
5695,93.75,0.191174278
5700,91.54999924,0.190507736
5705,89.45000076,0.189871483
5710,87.35000229,0.189200897
5715,85.35000229,0.188625794
5720,83.25,0.187885685
5725,81.35000229,0.18737278
5730,79.35000229,0.186693554
5735,77.45000076,0.186044731
5740,75.45000076,0.185359898
5745,73.64999771,0.184840908
5750,71.75,0.184082813
5755,69.95000458,0.183560371
5760,68.14999771,0.182933292
5765,66.45000458,0.182408161
5770,64.64999771,0.181706429
5775,62.95000076,0.181107025
5780,61.3500061,0.180612698
5785,59.64999962,0.179937458
5790,58.04999542,0.179367847
5795,56.50000763,0.178759766
5800,54.89999962,0.178186283
5805,53.44999695,0.177723579
5810,51.95000076,0.177147846
5815,50.44999695,0.176531982
5820,48.89999962,0.175797176
5825,47.5,0.175253105
5830,46.24999237,0.174906311
5835,44.94999695,0.174442921
5840,43.59999847,0.173859215
5845,42.30000305,0.173315125
5850,40.94999886,0.172616272
5855,39.84999084,0.172304287
5860,38.64999962,0.171851254
5865,37.35000038,0.171135502
5870,36.30000305,0.170722275
5875,35.05000114,0.170090656
5880,34.09999847,0.169773407
5885,32.95000458,0.169234695
5890,32.00000095,0.16892971
5895,30.99999237,0.168492031
5900,29.94999981,0.167915859
5905,28.94999981,0.167389412
5910,28.09999847,0.167113686
5915,27.1499939,0.166598358
5920,26.30000019,0.166367207
5925,25.44998932,0.165864086
5930,24.64999962,0.165630779
5935,23.84999847,0.165252228
5940,23.09999084,0.164939652
5945,22.30000019,0.164491139
5950,21.59999943,0.164226971
5955,20.90000057,0.163924179
5960,20.19999981,0.163581162
5965,19.5,0.163196201
5970,18.94999981,0.163132877
5975,18.25,0.162665997
5980,17.69999981,0.162530956
5985,17.09999943,0.162232533
5990,16.5,0.161892986
5995,15.99999952,0.161778412
6000,15.44999981,0.161493244
6005,14.94999981,0.161306267
6010,14.44999981,0.161082134
6015,13.94999981,0.160819092
6020,13.55000019,0.160811253
6025,13.05000019,0.160471687
6030,12.64999962,0.160396042
6035,12.19999981,0.160130215
6040,11.75,0.159823198
6045,11.4000001,0.159801045
6050,11,0.159580689
6055,10.64999962,0.159618187
6060,10.30000019,0.159495153
6065,9.949999809,0.159336805
6070,9.649999619,0.159323196
6075,9.350000381,0.159278603
6080,9,0.159017162
6085,8.75,0.159114513
6090,8.449999809,0.158987312
6095,8.149999857,0.158824787
6100,7.900000095,0.158834229
6105,7.650000095,0.158814554
6110,7.399999857,0.158764744
6115,7.200000048,0.158905907
6120,6.899999857,0.15856864
6125,6.700000048,0.158653126
6130,6.5,0.158712111
6135,6.300000191,0.158744659
6140,6.100000143,0.158749676
6145,5.899999857,0.158725872
6150,5.75,0.158907566
6155,5.600000381,0.15908843
6160,5.399999857,0.158977699
6170,5.100000143,0.159216366
6175,4.950000048,0.159299078
6180,4.799999952,0.159355917
6190,4.5,0.159513693
6200,4.25,0.159745455
6210,4,0.159914446
6220,3.799999952,0.160345306
6225,3.700000048,0.160532494
6230,3.600000024,0.160699844
6240,3.399999976,0.160971317
6250,3.25,0.161547871
6260,3.049999714,0.161645336
6270,2.925000191,0.162399139
6275,2.825000048,0.162361355
6280,2.75,0.162541161
6290,2.625,0.16308897
6300,2.5,0.163579063
6310,2.375,0.163980255
6320,2.25,0.164315414
6325,2.199999928,0.164582558
6330,2.149999976,0.164955139
6340,2.050000012,0.165418663
6350,1.975000203,0.166152954
6360,1.900000095,0.166529026
6370,1.800000012,0.167167587
6375,1.774999797,0.167740097
6380,1.725000024,0.167848034
6390,1.675000072,0.168718472
6400,1.600000024,0.169242573
6410,1.524999976,0.169677048
6420,1.475000203,0.170531998
6425,1.475000024,0.171257935
6430,1.425000191,0.171275578
6440,1.375,0.171977196
6450,1.325000048,0.172656918
6460,1.274999976,0.173281174
6470,1.225000024,0.173947945
6475,1.225000203,0.174684639
6480,1.199999988,0.174976635
6490,1.174999952,0.175950146
6500,1.149999976,0.176991444
6525,1.049999893,0.178694382
6550,0.975000024,0.18063427
6600,0.849999994,0.184743042
6650,0.75,0.188923512
6700,0.675000012,0.193421135
6750,0.599999994,0.19746666
6800,0.549999982,0.202085877
6850,0.500000015,0.206441612
6900,0.450000003,0.210366783
6950,0.425000012,0.215303288
7000,0.400000006,0.220029411
7050,0.349999994,0.223049831
7100,0.349999994,0.228873253
7200,0.300000004,0.236909485
7300,0.250000015,0.244067211
7400,0.225000009,0.252469978
7500,0.200000007,0.260334702
7600,0.15,0.264277268
7700,0.15,0.274101944
7800,0.15,0.283788128
7900,0.100000001,0.300166702
8000,0.100000001,0.309657326
8100,0.099999994,0.31915081
8200,0.050000001,0.311296616
8300,0.075000003,0.329899216
8400,0.050000001,0.328586502
8500,0.075000003,0.347432251
8600,0.075000003,0.356043968
8700,0.075000003,0.364429894
8800,0.075000003,0.372763748
8900,0.075000003,0.381006203
9000,0.050000001,0.377685432
9200,0.050000001,0.393149185
9600,0.050000001,0.423045731
10000,0.050000001,0.451488419
10100,0.050000001,0.458381958
10200,0.050000001,0.465087662
10400,0.050000001,0.47859539
10500,0.050000001,0.485147858
10600,0.050000001,0.491657715
10800,0.050000001,0.504472694
11000,0.050000001,0.517002678
11100,0.050000001,0.523226547
12000,0.050000001,0.576156616